ALGORITHM EXECUTION TIMES IN SECONDS for: 1, 2, 6, 12, 24, 48, 60, 
Alg 	Amount 	time1 	time2 	time3 	time4 	time5 	time6 	time7 	time8 	time9 	time10 	AvgTime (ms)
dynamic	15	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000990
dynamic	16	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001038
dynamic	17	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001109
dynamic	18	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001149


ALGORITHM EXECUTION TIMES IN SECONDS for: 1, 5, 10, 25, 50, 
Alg 	Amount 	time1 	time2 	time3 	time4 	time5 	time6 	time7 	time8 	time9 	time10 	AvgTime (ms)
naive	1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000287
naive	2	0.000003	0.000001	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000000	0.000001	0.000742
naive	3	0.000001	0.000001	0.000001	0.000003	0.000001	0.000001	0.000001	0.000001	0.000001	0.000003	0.001534
naive	4	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.004041
naive	5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000265
naive	6	0.000011	0.000015	0.000011	0.000013	0.000011	0.000013	0.000011	0.000015	0.000012	0.000011	0.012323
naive	7	0.000036	0.000037	0.000035	0.000038	0.000035	0.000036	0.000035	0.000035	0.000035	0.000035	0.035684
naive	8	0.000105	0.000104	0.000102	0.000105	0.000102	0.000106	0.000103	0.000108	0.000102	0.000108	0.104576
naive	9	0.000310	0.000310	0.000316	0.000311	0.000312	0.000316	0.000312	0.000310	0.000312	0.000314	0.312198
naive	10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000277
naive	11	0.000941	0.000936	0.000936	0.000934	0.000938	0.000936	0.000936	0.000936	0.000937	0.000938	0.936878
naive	12	0.002813	0.002831	0.002807	0.002847	0.002799	0.002807	0.002808	0.002815	0.002807	0.002821	2.815445
naive	13	0.008434	0.008429	0.008456	0.008433	0.008450	0.008440	0.008449	0.008445	0.008435	0.008424	8.439572
naive	14	0.025313	0.025460	0.026283	0.025308	0.025326	0.025312	0.026271	0.025298	0.025341	0.025290	25.520205
naive	15	0.076730	0.076464	0.078153	0.076592	0.094902	0.075862	0.091374	0.086629	0.075836	0.083099	81.564220
naive	16	0.232038	0.228619	0.229452	0.245965	0.243119	0.238192	0.234620	0.233245	0.228162	0.228064	234.147542
naive	17	0.684654	0.702151	0.707497	0.688119	0.690440	0.683003	0.682769	0.683080	0.685001	0.682193	688.890414
naive	18	2.053749	2.053990	2.052184	2.077801	2.096870	2.066269	2.062083	2.050360	2.047069	2.051840	2061.221596
greedy	1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000406
